Invoice ID,City,Customer type,Gender,Product line,Total,Date,Time,Payment,gross income,Rating,Day,Day Name,Day of the Month
765-26-6951,Yangon,Normal,Male,Sports and travel,457.443,2019-01-01,10:39,Credit card,21.783,6.9,2,Tue,01
746-04-1077,Mandalay,Member,Female,Food and beverages,888.615,2019-01-01,11:36,Credit card,42.315,9.0,2,Tue,01
271-77-8740,Naypyitaw,Member,Female,Sports and travel,184.086,2019-01-01,11:40,Ewallet,8.766,5.0,2,Tue,01
133-14-7229,Naypyitaw,Normal,Male,Health and beauty,132.027,2019-01-01,11:43,Cash,6.287,5.0,2,Tue,01
651-88-7328,Yangon,Normal,Female,Fashion accessories,621.243,2019-01-01,13:55,Cash,29.583,7.7,2,Tue,01
416-17-9926,Yangon,Member,Female,Electronic accessories,779.31,2019-01-01,14:42,Credit card,37.11,4.3,2,Tue,01
530-90-9855,Yangon,Member,Male,Home and lifestyle,399.756,2019-01-01,14:47,Cash,19.036,5.7,2,Tue,01
556-97-7101,Naypyitaw,Normal,Female,Electronic accessories,132.762,2019-01-01,15:51,Cash,6.322,8.5,2,Tue,01
891-01-7034,Mandalay,Normal,Female,Electronic accessories,470.673,2019-01-01,19:07,Cash,22.413,6.7,2,Tue,01
770-42-8960,Mandalay,Normal,Male,Food and beverages,177.408,2019-01-01,19:31,Cash,8.448,6.3,2,Tue,01
493-65-6248,Naypyitaw,Member,Female,Sports and travel,388.29,2019-01-01,19:48,Credit card,18.49,7.0,2,Tue,01
182-52-7000,Yangon,Member,Female,Sports and travel,113.568,2019-01-01,20:26,Ewallet,5.408,6.9,2,Tue,01
244-08-0162,Mandalay,Normal,Female,Health and beauty,359.205,2019-01-02,13:00,Cash,17.105,5.1,3,Wed,02
198-84-7132,Mandalay,Member,Male,Fashion accessories,383.7645,2019-01-02,13:40,Cash,18.2745,7.0,3,Wed,02
712-39-0363,Yangon,Member,Male,Food and beverages,262.458,2019-01-02,15:24,Ewallet,12.498,5.6,3,Wed,02
345-68-9016,Naypyitaw,Member,Female,Sports and travel,266.028,2019-01-02,16:19,Credit card,12.668,5.6,3,Wed,02
504-35-8843,Yangon,Normal,Male,Sports and travel,44.5935,2019-01-02,16:57,Cash,2.1235,5.7,3,Wed,02
446-47-6729,Naypyitaw,Normal,Male,Fashion accessories,209.622,2019-01-02,18:09,Credit card,9.982,6.7,3,Wed,02
